status,product_area,response,justification,request_type
replied,billing,"To dispute a charge, please contact your issuer or bank using the freephone number (only free when dialling from within the USA) located on the front or back of your Visa card. In many cases, your issuer or bank will require detailed information regarding the transaction before resolving the disputed charge.",Article 2: How do I dispute a charge?,product_issue
escalated,security,Thank you for reaching out. Your request requires attention from a human support agent who will follow up with you shortly. We apologize for any inconvenience.,High-risk keyword detected in ticket. Routed to human agent.,product_issue
replied,screen,"Please visit our [Online Safety Contacts](https://support.claude.com/en/articles/11174660-online-safety-contacts) page for web search questions, and our [Blocking and Removing Content from Claude](https://support.claude.com/en/articles/10684638-reporting-blocking-and-removing-content-from-claude) page for content removal requests.",Article: [Blocking or removing websites from Claude web search](https://support.claude.com/en/articles/10684638-reporting-blocking-and-removing-content-from-claude),product_issue
replied,billing,"Please call Visa's Global Customer Assistance Services (GCAS) at +1 303 967 1090 from anywhere in the world for multilingual assistance 24 hours a day, 365 days a year.",Article 4: Lost your Visa card? Call +1 303 967 1090 from anywhere in the world.,product_issue
replied,privacy,"Claude's training data is updated periodically, but each model has a knowledge cutoff. The most recent models (Opus 4.7 and Opus 4.6) were trained on data up until January 2026 and August 2025, respectively. This means that the model may not be aware of events or information that occurred after these dates.",Article: How up-to-date is Claude's training data? (https://support.claude.com/en/articles/8114494-how-up-to-date-is-claudes-training-data),product_issue
escalated,None,Thank you for reaching out. Your request requires attention from a human support agent who will follow up with you shortly. We apologize for any inconvenience.,Company could not be determined from ticket content. Escalated to avoid wrong-domain response.,invalid
escalated,security,Thank you for reaching out. Your request requires attention from a human support agent who will follow up with you shortly. We apologize for any inconvenience.,High-risk keyword detected in ticket. Routed to human agent.,product_issue
replied,bedrock,"Check if `aws sts get-caller-identity` works and `AWS_REGION` is set to a region where your model is enabled for Bedrock, and confirm `gcloud auth application-default login` has been run and that `ANTHROPIC_VERTEX_PROJECT_ID` and `CLOUD_ML_REGION` are set for Vertex. For more information, visit https://support.claude.com/en/articles/10280791-what-aws-regions-are-claude-models-available-in-amazon-bedrock",Article 3: What AWS Regions are Claude models available in Amazon Bedrock?,product_issue
replied,account_management,"Please contact HackerRank Support at help@hackerrank.com and request account deletion. For more information, see [Deleting a team member](https://support.hackerrank.com/articles/2181136239-manage-team-members#removing-a-team-member).",Article 1: Removing a team member requires removing all users before deleting the team.,product_issue
replied,account_management,"To set up Claude LTI for your students, go to Admin -> Developer Keys in Canvas and create a new developer key. Follow steps 1-7 under Creating Claude LTI Developer Key in Canvas. Then, install Claude LTI as an app by selecting Configuration Type 'By Client ID' and inputting the generated Client ID. For more information on installing Claude LTI, refer to Installing Claude LTI as an App in Canvas.",Article: Creating Claude LTI Developer Key in Canvas,feature_request
escalated,billing,Please contact our merchant support team for assistance with this issue. They can provide more information on the minimum spend requirements for your Visa card in the US Virgin Islands.,"Article 1: The article does not specify a minimum spend requirement for merchants, but rather provides general information on Visa rules and regulations.",product_issue
